Total Duration of All Videos: 10256.64 hours
Total Videos: 44868
Unique Channels: 207
Min Duration: 0.00 milliseconds
Max Duration: 26.81 hours
Average Duration: 13.72 minutes
Total Duplicate Entries: 44
Unique Duplicate Videos: 22

Language Analysis:
Audio Language,sum,min,max,mean,Total Duration,Min Duration,Max Duration,Avg Duration,Video Count,Total Views
https://en.wikipedia.org/wiki/Golf,205,22,183,102.5,3.42 minutes,22.00 seconds,3.05 minutes,1.71 minutes,2,27789
https://en.wikipedia.org/wiki/Health,279656,15,7532,330.95384615384614,77.68 hours,15.00 seconds,2.09 hours,5.52 minutes,845,88490496
https://en.wikipedia.org/wiki/Hip_hop_music,8969,39,5214,1494.8333333333333,2.49 hours,39.00 seconds,1.45 hours,24.91 minutes,6,6166794
https://en.wikipedia.org/wiki/Hobby,287479,6,7981,494.80034423407915,79.86 hours,6.00 seconds,2.22 hours,8.25 minutes,581,187778919
https://en.wikipedia.org/wiki/Humour,396945,7,9991,571.9668587896253,110.26 hours,7.00 seconds,2.78 hours,9.53 minutes,694,597815113
https://en.wikipedia.org/wiki/Ice_hockey,473,473,473,473.0,7.88 minutes,7.88 minutes,7.88 minutes,7.88 minutes,1,14703
https://en.wikipedia.org/wiki/Independent_music,12589,225,7783,4196.333333333333,3.50 hours,3.75 minutes,2.16 hours,1.17 hours,3,75201
https://en.wikipedia.org/wiki/Knowledge,4978649,0,47228,1445.600754936121,1382.96 hours,0.00 milliseconds,13.12 hours,24.09 minutes,3444,202280387
https://en.wikipedia.org/wiki/Lifestyle_(sociology),2851771,0,40066,546.9449558879938,792.16 hours,0.00 milliseconds,11.13 hours,9.12 minutes,5214,1979953423
https://en.wikipedia.org/wiki/Military,71728,43,10830,478.18666666666667,19.92 hours,43.00 seconds,3.01 hours,7.97 minutes,150,10628262
https://en.wikipedia.org/wiki/Mixed_martial_arts,1103,1103,1103,1103.0,18.38 minutes,18.38 minutes,18.38 minutes,18.38 minutes,1,380401
https://en.wikipedia.org/wiki/Motorsport,656,129,304,218.66666666666666,10.93 minutes,2.15 minutes,5.07 minutes,3.64 minutes,3,136453
https://en.wikipedia.org/wiki/Music,1150997,7,39546,1264.831868131868,319.72 hours,7.00 seconds,10.98 hours,21.08 minutes,910,414000219
https://en.wikipedia.org/wiki/Music_of_Asia,1127388,7,39546,924.088524590164,313.16 hours,7.00 seconds,10.98 hours,15.40 minutes,1220,486548059
https://en.wikipedia.org/wiki/Music_of_Latin_America,1377,1377,1377,1377.0,22.95 minutes,22.95 minutes,22.95 minutes,22.95 minutes,1,100981
https://en.wikipedia.org/wiki/Performing_arts,70910,11,7981,506.5,19.70 hours,11.00 seconds,2.22 hours,8.44 minutes,140,46273993
https://en.wikipedia.org/wiki/Pet,26419,15,3406,419.3492063492063,7.34 hours,15.00 seconds,56.77 minutes,6.99 minutes,63,6057982
https://en.wikipedia.org/wiki/Physical_attractiveness,3892,491,3401,1946.0,1.08 hours,8.18 minutes,56.68 minutes,32.43 minutes,2,48241
https://en.wikipedia.org/wiki/Physical_fitness,14461,18,1987,249.32758620689654,4.02 hours,18.00 seconds,33.12 minutes,4.16 minutes,58,7872521
https://en.wikipedia.org/wiki/Politics,1821070,22,42901,974.3552701979668,505.85 hours,22.00 seconds,11.92 hours,16.24 minutes,1869,122846931
https://en.wikipedia.org/wiki/Pop_music,24012,11,4043,311.84415584415586,6.67 hours,11.00 seconds,1.12 hours,5.20 minutes,77,134657390
https://en.wikipedia.org/wiki/Professional_wrestling,2636,101,1023,439.3333333333333,43.93 minutes,1.68 minutes,17.05 minutes,7.32 minutes,6,1841253
https://en.wikipedia.org/wiki/Puzzle_video_game,16287,204,949,678.625,4.52 hours,3.40 minutes,15.82 minutes,11.31 minutes,24,22802674
https://en.wikipedia.org/wiki/Religion,9698585,6,40066,1163.0393332533877,2694.05 hours,6.00 seconds,11.13 hours,19.38 minutes,8339,254401439
https://en.wikipedia.org/wiki/Rhythm_and_blues,1227,1227,1227,1227.0,20.45 minutes,20.45 minutes,20.45 minutes,20.45 minutes,1,554
https://en.wikipedia.org/wiki/Rock_music,4208,36,3756,701.3333333333334,1.17 hours,36.00 seconds,1.04 hours,11.69 minutes,6,63855
https://en.wikipedia.org/wiki/Role-playing_video_game,1304286,0,23288,4608.78445229682,362.30 hours,0.00 milliseconds,6.47 hours,1.28 hours,283,71377721
https://en.wikipedia.org/wiki/Simulation_video_game,29942,0,1645,809.2432432432432,8.32 hours,0.00 milliseconds,27.42 minutes,13.49 minutes,37,30631015
https://en.wikipedia.org/wiki/Society,15817360,0,42901,817.9841754150075,4393.71 hours,0.00 milliseconds,11.92 hours,13.63 minutes,19337,1208580219
https://en.wikipedia.org/wiki/Soul_music,11991,17,5021,631.1052631578947,3.33 hours,17.00 seconds,1.39 hours,10.52 minutes,19,2096988
https://en.wikipedia.org/wiki/Sport,148404,10,7476,294.45238095238096,41.22 hours,10.00 seconds,2.08 hours,4.91 minutes,504,59282224
https://en.wikipedia.org/wiki/Sports_game,1071,18,515,214.2,17.85 minutes,18.00 seconds,8.58 minutes,3.57 minutes,5,765047
https://en.wikipedia.org/wiki/Strategy_video_game,1362526,0,23288,6916.375634517766,378.48 hours,0.00 milliseconds,6.47 hours,1.92 hours,197,5947198
https://en.wikipedia.org/wiki/Technology,653928,12,47228,842.6907216494845,181.65 hours,12.00 seconds,13.12 hours,14.04 minutes,776,77174829
https://en.wikipedia.org/wiki/Television_program,6932066,14,42899,1022.2778351275623,1925.57 hours,14.00 seconds,11.92 hours,17.04 minutes,6781,714150251
https://en.wikipedia.org/wiki/Tennis,476,152,163,158.66666666666666,7.93 minutes,2.53 minutes,2.72 minutes,2.64 minutes,3,47908
https://en.wikipedia.org/wiki/Tourism,1162270,5,7981,999.3723129836629,322.85 hours,5.00 seconds,2.22 hours,16.66 minutes,1163,444064236
https://en.wikipedia.org/wiki/Vehicle,58106,18,1535,397.986301369863,16.14 hours,18.00 seconds,25.58 minutes,6.63 minutes,146,65581054
https://en.wikipedia.org/wiki/Video_game_culture,1979276,0,23791,4571.076212471132,549.80 hours,0.00 milliseconds,6.61 hours,1.27 hours,433,107982050


